START_ID,END_ID,volume,year
0e23ff1f915b6af32bf1a1107ee7e15ebe10efe8,3fe65a3e-606b-4377-8de1-b3f779646e1e,1,2019
2ab2796390ac12df283e218907ed0ffef232dbc7,bc30f894-9a9c-440e-8420-7bd3c5624384,29,2019
8d446e7af03d7c7f9fe5828b2d9939e23a3ed7b0,93a7b6aa-3a96-4e75-a837-cbd3660e8a72,1,2019
747359803e9a734fa4f1338a83121a942f3da60e,93a7b6aa-3a96-4e75-a837-cbd3660e8a72,1,2019
863a35bdd1ae803491801e283c2ae79fe973cf68,e4c9326f-17a0-48c8-85c6-2975945f4395,44,2019
4f0218eb9ed62d5acc03f02bfa24b388a66067e8,5821d52f-e54a-4b02-981a-dd16fec9a115,28,2019
da1de6fa2d15e50c9e96811217e27a66313bd762,0aa85cdf-7469-400d-9553-a13cfaa44da5,27,2019
bf12943b1862cbdf556ba1ddcdbc685d4f38a6c3,4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,61,2018
4aeda303fa0b9beae3f6d65e052dace9d4540116,da1f558d-7744-4ce7-9b43-0a73f0057985,59,2019
36708c11c2fde2efb50e75d81f174b2c205082c8,4d899b46-b5c8-436e-8ce3-084673ea8905,6,2019
e8547557eeea9c9a334edfc4bfa4bbe3774e24d5,be8cc615-4b2c-482c-86de-1f75a442c83f,30,2018
ffdb6039a5d82f8edd70b2d177074c2f2c89e97f,94cf7e5d-ed99-4849-b9b9-17ed670f5e6e,2,2018
305600f3cba8a63bad1bedeab34a299bf748754b,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,11,2018
e1c8f86668d3e37e430f187b7fd91d1643a0a0ff,c6840156-ee10-4d78-8832-7f8909811576,29,2016
260ef5a455afcb8d052866bdf2fb28996ab8bbad,c3875580-2cce-4a95-a094-fff60bb381b9,6,2018
577564ac25a12b37972d77a35b589f6b2270a45f,9cf634df-e30b-4e2a-aeb7-84a126ce8861,154 5,2018
6bf9d589f80823735084956f056728ae1a7bcfa8,abe20b62-4958-4cfc-a05f-b87f4051f1a9,1,2018
bf90a04b8c9a7752bab8cb50c8796393218627d2,4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,60,2017
5a44f70130875b212452ad777ab02a4eb5cd35d9,329e28c6-84e0-4d75-a58e-ddac24c52d4e,3,2018
27e57cc2f22c1921d2a1c3954d5062e3fe391553,f528e58c-0e4e-45b0-9456-832847244f0e,14,2009
72910077a29caf411dbb03148997c72b47e65ab0,c99cfe66-b71c-4ca4-bedd-26267b9cb068,SE-10,1993
849a6be5adf1b9a2b6e59ba0290bca06692c0efd,f528e58c-0e4e-45b0-9456-832847244f0e,27,2020
2bd576ce574df33c834b6032962cd5ae0be5299f,64ae7767-9467-4e70-9e31-e4185f9f16ff,64,2015
a963d05b9d4acd347ad528e7d098eb53d8f555a2,64ae7767-9467-4e70-9e31-e4185f9f16ff,51,2009
247e2ee1a84e25cdc2d0d68811e2ee05ca0bc6a9,f528e58c-0e4e-45b0-9456-832847244f0e,24,2019
bca7c0902f600fa77b1e16d0e093e23f7d75f649,f528e58c-0e4e-45b0-9456-832847244f0e,23,2018
ed0759b7001f8be53bb4282750e98198b359307d,f6572f66-2623-4a5e-b0d9-4a5028dea98f,20,1987
30b71975e26dd2709f58372419b712d97536402f,10a4a695-8417-42c7-983d-742df48b3905,123,2017
51b502b9ce774a615474ed8629e74d0dfaa33ee3,0730105a-4941-449f-9450-28cba8ae056b,27,2018
cc3d1830b5220b68d8e785130e4b0d5ab7563d67,119227a6-1b94-433e-a52d-8445a387dbbe,35,2018
a75965753906c24a6a5715a695757a0de8447f26,c99cfe66-b71c-4ca4-bedd-26267b9cb068,43,2017
bccd2ffa530097e7617c35178de641f1295d2748,119227a6-1b94-433e-a52d-8445a387dbbe,35,2018
2b19768afa6fbf5abb19790cd1ee991574129933,10a4a695-8417-42c7-983d-742df48b3905,126,2017
3f0b37f26829684b8417309577d77f3af6534707,2f5d0e8a-faad-4f10-b323-2b2e3c439a78,9392,2017
bcc7041e0fb7717a7d67a9c00e08b7fb81384cbf,f528e58c-0e4e-45b0-9456-832847244f0e,22,2017
63b8ebfe57af400c8bbadc5c111cb5fe71f331bd,f528e58c-0e4e-45b0-9456-832847244f0e,22,2017
c176cf31862a7c5b324556e8dc3fdbef2a108391,119227a6-1b94-433e-a52d-8445a387dbbe,34,2017
9579ed0d182ba134ab3ed14ba0defbb324147399,119227a6-1b94-433e-a52d-8445a387dbbe,34,2017
819f36c0ddae12132d60ebc5cc0a19f7db8668b1,c99cfe66-b71c-4ca4-bedd-26267b9cb068,46,2017
cdc5bf80451d1f447cf82e5c37fec8089b1e6878,10a4a695-8417-42c7-983d-742df48b3905,132,2017
0e50bf23cb16ba66e738d88f0fffab75c338e02a,119227a6-1b94-433e-a52d-8445a387dbbe,33,2016
4099f2b7a9282e3be30076f2532008e6caeb1c13,f528e58c-0e4e-45b0-9456-832847244f0e,22,2016
ec59569fdee17844ae071be1536a08f937f08c57,119227a6-1b94-433e-a52d-8445a387dbbe,33,2016
27c9101fa2f41ce15100f0f07802bb656eda50ad,f528e58c-0e4e-45b0-9456-832847244f0e,21,2016
12248c8cd5ba1f2594e2bcf4c3b4e8ddd10d13c7,f528e58c-0e4e-45b0-9456-832847244f0e,21,2016
564614da76b5d9020c700b78e1fe154bd590c47d,c99cfe66-b71c-4ca4-bedd-26267b9cb068,42,2016
5602cbe797d20b17edfd08b3dc94622c842fbe80,c99cfe66-b71c-4ca4-bedd-26267b9cb068,42,2016
768b444c84340d2210bd2782ce3aa39b723bd0b9,f8c1288e-7248-48b1-9c43-c80bb91e8cad,4,2016
fac3a6f272428e9d6879227ef76c1fa9397b317f,78ebe7c1-b88c-4801-9d98-700a1c791a61,24,2014
63b35f109c6962247cbbf9458d55082c653f1d9e,f528e58c-0e4e-45b0-9456-832847244f0e,20,2015
641bb6adbbef003b3b74a1bbd5e11dbe251d6a66,f528e58c-0e4e-45b0-9456-832847244f0e,20,2015
bcd2c5379a34068040750a751e4fd2710d90c15c,c99cfe66-b71c-4ca4-bedd-26267b9cb068,35,2009
c605abdfc50787818fce169198e0807c5b474c1c,64ae7767-9467-4e70-9e31-e4185f9f16ff,57,2015
3dcc789f0ecc07500a3539ec3805f80a03412103,64ae7767-9467-4e70-9e31-e4185f9f16ff,55,2013
0e528eb8167c68930c2e1ab20ab5c14f98446927,c99cfe66-b71c-4ca4-bedd-26267b9cb068,41,2015
a639919277b2d0683d21b637bec2192fd475fa80,558a3215-8ffd-4b31-be7f-f653ca3b600d,2,2014
2aa4b8ab64847b5d040a4508a4029dea07e9cb41,f528e58c-0e4e-45b0-9456-832847244f0e,19,2014
389aa97e59372fbc65cab81fe18d9f86fbb70a82,10a4a695-8417-42c7-983d-742df48b3905,107,2015
372fcbfccd9b02c69f0e42f1c94a64a044e1a11a,f528e58c-0e4e-45b0-9456-832847244f0e,19,2014
1a517c7b56d1d2f2d3e8e209c438e32663a750c9,2f5d0e8a-faad-4f10-b323-2b2e3c439a78,1,2014
